"Cluster","CO_ID","CI01","CI02","CI06","CI07","CI08","CO_E01","CO_E02","CO_E03","CO_E04","CO_E05","CO_E06","CO_E07","Basicweight"
62,60,2,2,2,1,10,21,"Ipompo izamura amazi ikoresha amashanyarazi",0,0,,,,9.59673777777778
62,60,2,2,2,1,10,1,"Ibigo by!amashuri y!incuke",0,1,,,,9.59673777777778
62,60,2,2,2,1,10,2,"Ibigo by!amashuri yibanza",0,1,,,,9.59673777777778
62,60,2,2,2,1,10,3,"Ibigo by!amashuri yisumbuye",0,1,,,,9.59673777777778
62,60,2,2,2,1,10,18,"Aho bajya inama bakanatanga serivisi z!ubuhinzi",0,0,,,,9.59673777777778
62,60,2,2,2,1,10,17,"Imiryango itari ibigo by!imari itari iya leta",0,0,,,,9.59673777777778
62,60,2,2,2,1,10,22,"Kiliziya/Umusigiti/Urusengero",0,20,,,,9.59673777777778
62,60,2,2,2,1,10,19,"Insyo/amabarizo/aho bakora amavuta ateka",0,15,,,,9.59673777777778
62,60,2,2,2,1,10,16,"Aho abantu babonera Internet",0,0,,,,9.59673777777778
62,60,2,2,2,1,10,15,"Ibiro by!iposita",0,0,,,,9.59673777777778
62,60,2,2,2,1,10,10,"Amasoko",0,20,,,,9.59673777777778
62,60,2,2,2,1,10,6,"Amavuriro y!igenga",0,0,,,,9.59673777777778
62,60,2,2,2,1,10,13,"Ibigo by!imari iciriritse",0,15,,,,9.59673777777778
62,60,2,2,2,1,10,5,"Aho bategera Bus",0,30,,,,9.59673777777778
62,60,2,2,2,1,10,12,"Amashami ya Banki",0,15,,,,9.59673777777778
63,61,2,2,2,1,10,16,"Aho abantu babonera Internet",0,0,,,,5.68636416666667
63,61,2,2,2,1,10,7,"Amavuriro ya Leta/Ikigo nderabuzima",0,10,,,,5.68636416666667
63,61,2,2,2,1,10,14,"Poste ya polisi",0,4,,,,5.68636416666667
63,61,2,2,2,1,10,21,"Ipompo izamura amazi ikoresha amashanyarazi",0,0,,,,5.68636416666667
63,61,2,2,2,1,10,2,"Ibigo by!amashuri yibanza",0,3,,,,5.68636416666667
63,61,2,2,2,1,10,22,"Kiliziya/Umusigiti/Urusengero",1,,2015,1,1,5.68636416666667
63,61,2,2,2,1,10,1,"Ibigo by!amashuri y!incuke",0,3,,,,5.68636416666667
63,61,2,2,2,1,10,23,"Ibiro by!ibigo bya Leta bitanga amashanyarazi",0,0,,,,5.68636416666667
63,61,2,2,2,1,10,5,"Aho bategera Bus",0,0,,,,5.68636416666667
63,61,2,2,2,1,10,12,"Amashami ya Banki",0,5,,,,5.68636416666667
63,61,2,2,2,1,10,18,"Aho bajya inama bakanatanga serivisi z!ubuhinzi",0,0,,,,5.68636416666667
63,61,2,2,2,1,10,19,"Insyo/amabarizo/aho bakora amavuta ateka",0,3,,,,5.68636416666667
63,61,2,2,2,1,10,10,"Amasoko",0,5,,,,5.68636416666667
63,61,2,2,2,1,10,15,"Ibiro by!iposita",0,0,,,,5.68636416666667
63,61,2,2,2,1,10,3,"Ibigo by!amashuri yisumbuye",0,3,,,,5.68636416666667
63,61,2,2,2,1,10,6,"Amavuriro y!igenga",0,0,,,,5.68636416666667
63,61,2,2,2,1,10,9,"Ibitaro",0,11,,,,5.68636416666667
63,61,2,2,2,1,10,8,"Poste de sante cg Farumasi",0,8,,,,5.68636416666667
63,61,2,2,2,1,10,11,"Amakusanyirizo y!amata",0,16,,,,5.68636416666667
63,61,2,2,2,1,10,4,"Ikigo cy!amashuri y!imyuga  (TVET)",0,3,,,,5.68636416666667
63,61,2,2,2,1,10,13,"Ibigo by!imari iciriritse",0,5,,,,5.68636416666667
63,61,2,2,2,1,10,20,"Aho basharija/bakora telefoni",0,2,,,,5.68636416666667
63,61,2,2,2,1,10,17,"Imiryango itari ibigo by!imari itari iya leta",0,0,,,,5.68636416666667
64,62,2,2,2,1,10,2,"Ibigo by!amashuri yibanza",0,1,,,,7.20332459016393
64,62,2,2,2,1,10,14,"Poste ya polisi",0,20,,,,7.20332459016393
64,62,2,2,2,1,10,22,"Kiliziya/Umusigiti/Urusengero",0,5,,,,7.20332459016393
64,62,2,2,2,1,10,5,"Aho bategera Bus",0,0,,,,7.20332459016393
64,62,2,2,2,1,10,3,"Ibigo by!amashuri yisumbuye",0,20,,,,7.20332459016393
64,62,2,2,2,1,10,16,"Aho abantu babonera Internet",0,0,,,,7.20332459016393
64,62,2,2,2,1,10,10,"Amasoko",0,30,,,,7.20332459016393
64,62,2,2,2,1,10,23,"Ibiro by!ibigo bya Leta bitanga amashanyarazi",0,0,,,,7.20332459016393
64,62,2,2,2,1,10,12,"Amashami ya Banki",0,15,,,,7.20332459016393
64,62,2,2,2,1,10,13,"Ibigo by!imari iciriritse",0,15,,,,7.20332459016393
64,62,2,2,2,1,10,8,"Poste de sante cg Farumasi",0,1,,,,7.20332459016393
64,62,2,2,2,1,10,15,"Ibiro by!iposita",0,0,,,,7.20332459016393
64,62,2,2,2,1,10,7,"Amavuriro ya Leta/Ikigo nderabuzima",0,20,,,,7.20332459016393
64,62,2,2,2,1,10,19,"Insyo/amabarizo/aho bakora amavuta ateka",1,,2022,1,1,7.20332459016393
64,62,2,2,2,1,10,1,"Ibigo by!amashuri y!incuke",0,1,,,,7.20332459016393
64,62,2,2,2,1,10,9,"Ibitaro",0,30,,,,7.20332459016393
64,62,2,2,2,1,10,17,"Imiryango itari ibigo by!imari itari iya leta",0,0,,,,7.20332459016393
64,62,2,2,2,1,10,4,"Ikigo cy!amashuri y!imyuga  (TVET)",0,20,,,,7.20332459016393
64,62,2,2,2,1,10,18,"Aho bajya inama bakanatanga serivisi z!ubuhinzi",0,0,,,,7.20332459016393
64,62,2,2,2,1,10,20,"Aho basharija/bakora telefoni",0,0,,,,7.20332459016393
64,62,2,2,2,1,10,11,"Amakusanyirizo y!amata",0,0,,,,7.20332459016393
64,62,2,2,2,1,10,21,"Ipompo izamura amazi ikoresha amashanyarazi",0,0,,,,7.20332459016393
64,62,2,2,2,1,10,6,"Amavuriro y!igenga",0,0,,,,7.20332459016393
65,63,2,2,2,1,10,18,"Aho bajya inama bakanatanga serivisi z!ubuhinzi",0,0,,,,10.1865876923077
65,63,2,2,2,1,10,16,"Aho abantu babonera Internet",0,0,,,,10.1865876923077
65,63,2,2,2,1,10,11,"Amakusanyirizo y!amata",0,0,,,,10.1865876923077
65,63,2,2,2,1,10,20,"Aho basharija/bakora telefoni",0,1,,,,10.1865876923077
65,63,2,2,2,1,10,13,"Ibigo by!imari iciriritse",0,6,,,,10.1865876923077
65,63,2,2,2,1,10,8,"Poste de sante cg Farumasi",0,8,,,,10.1865876923077
65,63,2,2,2,1,10,14,"Poste ya polisi",0,9,,,,10.1865876923077
65,63,2,2,2,1,10,21,"Ipompo izamura amazi ikoresha amashanyarazi",0,0,,,,10.1865876923077
65,63,2,2,2,1,10,9,"Ibitaro",0,20,,,,10.1865876923077
65,63,2,2,2,1,10,10,"Amasoko",0,6,,,,10.1865876923077
65,63,2,2,2,1,10,17,"Imiryango itari ibigo by!imari itari iya leta",0,0,,,,10.1865876923077
65,63,2,2,2,1,10,23,"Ibiro by!ibigo bya Leta bitanga amashanyarazi",0,0,,,,10.1865876923077
65,63,2,2,2,1,10,1,"Ibigo by!amashuri y!incuke",0,1,,,,10.1865876923077
65,63,2,2,2,1,10,12,"Amashami ya Banki",0,6,,,,10.1865876923077
65,63,2,2,2,1,10,7,"Amavuriro ya Leta/Ikigo nderabuzima",0,8,,,,10.1865876923077
65,63,2,2,2,1,10,5,"Aho bategera Bus",0,0,,,,10.1865876923077
65,63,2,2,2,1,10,19,"Insyo/amabarizo/aho bakora amavuta ateka",0,2,,,,10.1865876923077
65,63,2,2,2,1,10,2,"Ibigo by!amashuri yibanza",0,1,,,,10.1865876923077
65,63,2,2,2,1,10,15,"Ibiro by!iposita",0,0,,,,10.1865876923077
65,63,2,2,2,1,10,22,"Kiliziya/Umusigiti/Urusengero",0,1,,,,10.1865876923077
65,63,2,2,2,1,10,4,"Ikigo cy!amashuri y!imyuga  (TVET)",0,8,,,,10.1865876923077
65,63,2,2,2,1,10,6,"Amavuriro y!igenga",0,8,,,,10.1865876923077
65,63,2,2,2,1,10,3,"Ibigo by!amashuri yisumbuye",0,1,,,,10.1865876923077
66,64,2,2,2,1,10,1,"Ibigo by!amashuri y!incuke",0,1,,,,4.40477818181818
66,64,2,2,2,1,10,18,"Aho bajya inama bakanatanga serivisi z!ubuhinzi",0,0,,,,4.40477818181818
66,64,2,2,2,1,10,22,"Kiliziya/Umusigiti/Urusengero",0,1,,,,4.40477818181818
66,64,2,2,2,1,10,20,"Aho basharija/bakora telefoni",0,0,,,,4.40477818181818
66,64,2,2,2,1,10,6,"Amavuriro y!igenga",0,1,,,,4.40477818181818
66,64,2,2,2,1,10,12,"Amashami ya Banki",0,1,,,,4.40477818181818
66,64,2,2,2,1,10,23,"Ibiro by!ibigo bya Leta bitanga amashanyarazi",0,1,,,,4.40477818181818
66,64,2,2,2,1,10,17,"Imiryango itari ibigo by!imari itari iya leta",0,0,,,,4.40477818181818
66,64,2,2,2,1,10,7,"Amavuriro ya Leta/Ikigo nderabuzima",0,1,,,,4.40477818181818
66,64,2,2,2,1,10,3,"Ibigo by!amashuri yisumbuye",0,1,,,,4.40477818181818
66,64,2,2,2,1,10,15,"Ibiro by!iposita",0,0,,,,4.40477818181818
66,64,2,2,2,1,10,5,"Aho bategera Bus",0,0,,,,4.40477818181818
66,64,2,2,2,1,10,21,"Ipompo izamura amazi ikoresha amashanyarazi",0,0,,,,4.40477818181818
66,64,2,2,2,1,10,14,"Poste ya polisi",0,1,,,,4.40477818181818
66,64,2,2,2,1,10,16,"Aho abantu babonera Internet",0,0,,,,4.40477818181818
66,64,2,2,2,1,10,2,"Ibigo by!amashuri yibanza",0,1,,,,4.40477818181818
66,64,2,2,2,1,10,8,"Poste de sante cg Farumasi",0,1,,,,4.40477818181818
66,64,2,2,2,1,10,9,"Ibitaro",0,1,,,,4.40477818181818
66,64,2,2,2,1,10,11,"Amakusanyirizo y!amata",0,0,,,,4.40477818181818
66,64,2,2,2,1,10,19,"Insyo/amabarizo/aho bakora amavuta ateka",0,0,,,,4.40477818181818
66,64,2,2,2,1,10,13,"Ibigo by!imari iciriritse",0,1,,,,4.40477818181818
66,64,2,2,2,1,10,10,"Amasoko",0,0,,,,4.40477818181818
66,64,2,2,2,1,10,4,"Ikigo cy!amashuri y!imyuga  (TVET)",0,1,,,,4.40477818181818
67,65,2,2,2,1,10,6,"Amavuriro y!igenga",0,0,,,,6.27120765957447
67,65,2,2,2,1,10,17,"Imiryango itari ibigo by!imari itari iya leta",0,0,,,,6.27120765957447
67,65,2,2,2,1,10,9,"Ibitaro",0,15,,,,6.27120765957447
67,65,2,2,2,1,10,15,"Ibiro by!iposita",0,0,,,,6.27120765957447
67,65,2,2,2,1,10,16,"Aho abantu babonera Internet",0,0,,,,6.27120765957447
67,65,2,2,2,1,10,23,"Ibiro by!ibigo bya Leta bitanga amashanyarazi",0,15,,,,6.27120765957447
67,65,2,2,2,1,10,21,"Ipompo izamura amazi ikoresha amashanyarazi",0,0,,,,6.27120765957447
67,65,2,2,2,1,10,18,"Aho bajya inama bakanatanga serivisi z!ubuhinzi",0,0,,,,6.27120765957447
67,65,2,2,2,1,10,11,"Amakusanyirizo y!amata",0,0,,,,6.27120765957447
67,65,2,2,2,1,10,8,"Poste de sante cg Farumasi",1,,2018,1,1,6.27120765957447
67,65,2,2,2,1,10,22,"Kiliziya/Umusigiti/Urusengero",1,,888,1,1,6.27120765957447
67,65,2,2,2,1,10,1,"Ibigo by!amashuri y!incuke",1,,2021,3,,6.27120765957447
67,65,2,2,2,1,10,19,"Insyo/amabarizo/aho bakora amavuta ateka",0,1,,,,6.27120765957447
67,65,2,2,2,1,10,12,"Amashami ya Banki",0,15,,,,6.27120765957447
67,65,2,2,2,1,10,14,"Poste ya polisi",0,15,,,,6.27120765957447
67,65,2,2,2,1,10,10,"Amasoko",0,15,,,,6.27120765957447
67,65,2,2,2,1,10,4,"Ikigo cy!amashuri y!imyuga  (TVET)",0,15,,,,6.27120765957447
67,65,2,2,2,1,10,3,"Ibigo by!amashuri yisumbuye",0,15,,,,6.27120765957447
67,65,2,2,2,1,10,7,"Amavuriro ya Leta/Ikigo nderabuzima",0,15,,,,6.27120765957447
67,65,2,2,2,1,10,5,"Aho bategera Bus",0,0,,,,6.27120765957447
67,65,2,2,2,1,10,13,"Ibigo by!imari iciriritse",0,15,,,,6.27120765957447
67,65,2,2,2,1,10,2,"Ibigo by!amashuri yibanza",1,,2021,3,,6.27120765957447
67,65,2,2,2,1,10,20,"Aho basharija/bakora telefoni",0,0,,,,6.27120765957447
68,66,2,2,2,1,10,2,"Ibigo by!amashuri yibanza",0,2,,,,138.488
68,66,2,2,2,1,10,5,"Aho bategera Bus",0,2,,,,138.488
68,66,2,2,2,1,10,7,"Amavuriro ya Leta/Ikigo nderabuzima",0,2,,,,138.488
68,66,2,2,2,1,10,4,"Ikigo cy!amashuri y!imyuga  (TVET)",0,3,,,,138.488
68,66,2,2,2,1,10,3,"Ibigo by!amashuri yisumbuye",0,3,,,,138.488
68,66,2,2,2,1,10,17,"Imiryango itari ibigo by!imari itari iya leta",0,0,,,,138.488
68,66,2,2,2,1,10,16,"Aho abantu babonera Internet",0,0,,,,138.488
68,66,2,2,2,1,10,13,"Ibigo by!imari iciriritse",0,2,,,,138.488
68,66,2,2,2,1,10,9,"Ibitaro",0,20,,,,138.488
68,66,2,2,2,1,10,8,"Poste de sante cg Farumasi",0,0,,,,138.488
68,66,2,2,2,1,10,12,"Amashami ya Banki",0,2,,,,138.488
68,66,2,2,2,1,10,19,"Insyo/amabarizo/aho bakora amavuta ateka",2,,2019,1,1,138.488
68,66,2,2,2,1,10,23,"Ibiro by!ibigo bya Leta bitanga amashanyarazi",0,2,,,,138.488
68,66,2,2,2,1,10,22,"Kiliziya/Umusigiti/Urusengero",0,1,,,,138.488
68,66,2,2,2,1,10,10,"Amasoko",0,3,,,,138.488
68,66,2,2,2,1,10,20,"Aho basharija/bakora telefoni",0,2,,,,138.488
68,66,2,2,2,1,10,18,"Aho bajya inama bakanatanga serivisi z!ubuhinzi",0,0,,,,138.488
68,66,2,2,2,1,10,21,"Ipompo izamura amazi ikoresha amashanyarazi",0,0,,,,138.488
68,66,2,2,2,1,10,14,"Poste ya polisi",0,2,,,,138.488
68,66,2,2,2,1,10,6,"Amavuriro y!igenga",0,0,,,,138.488
68,66,2,2,2,1,10,15,"Ibiro by!iposita",0,0,,,,138.488
68,66,2,2,2,1,10,1,"Ibigo by!amashuri y!incuke",0,3,,,,138.488
68,66,2,2,2,1,10,11,"Amakusanyirizo y!amata",0,0,,,,138.488
69,67,2,2,2,1,10,10,"Amasoko",0,2,,,,6.55938214285714
69,67,2,2,2,1,10,15,"Ibiro by!iposita",0,0,,,,6.55938214285714
69,67,2,2,2,1,10,12,"Amashami ya Banki",0,6,,,,6.55938214285714
69,67,2,2,2,1,10,7,"Amavuriro ya Leta/Ikigo nderabuzima",0,6,,,,6.55938214285714
69,67,2,2,2,1,10,19,"Insyo/amabarizo/aho bakora amavuta ateka",0,0,,,,6.55938214285714
69,67,2,2,2,1,10,23,"Ibiro by!ibigo bya Leta bitanga amashanyarazi",0,6,,,,6.55938214285714
69,67,2,2,2,1,10,22,"Kiliziya/Umusigiti/Urusengero",1,,888,1,1,6.55938214285714
69,67,2,2,2,1,10,18,"Aho bajya inama bakanatanga serivisi z!ubuhinzi",0,0,,,,6.55938214285714
69,67,2,2,2,1,10,4,"Ikigo cy!amashuri y!imyuga  (TVET)",0,2,,,,6.55938214285714
69,67,2,2,2,1,10,3,"Ibigo by!amashuri yisumbuye",0,1,,,,6.55938214285714
69,67,2,2,2,1,10,9,"Ibitaro",0,6,,,,6.55938214285714
69,67,2,2,2,1,10,16,"Aho abantu babonera Internet",0,0,,,,6.55938214285714
69,67,2,2,2,1,10,11,"Amakusanyirizo y!amata",0,0,,,,6.55938214285714
69,67,2,2,2,1,10,20,"Aho basharija/bakora telefoni",0,0,,,,6.55938214285714
69,67,2,2,2,1,10,5,"Aho bategera Bus",0,0,,,,6.55938214285714
69,67,2,2,2,1,10,14,"Poste ya polisi",0,6,,,,6.55938214285714
69,67,2,2,2,1,10,21,"Ipompo izamura amazi ikoresha amashanyarazi",0,0,,,,6.55938214285714
69,67,2,2,2,1,10,6,"Amavuriro y!igenga",0,0,,,,6.55938214285714
69,67,2,2,2,1,10,17,"Imiryango itari ibigo by!imari itari iya leta",0,0,,,,6.55938214285714
69,67,2,2,2,1,10,13,"Ibigo by!imari iciriritse",0,0,,,,6.55938214285714
69,67,2,2,2,1,10,2,"Ibigo by!amashuri yibanza",0,1,,,,6.55938214285714
69,67,2,2,2,1,10,1,"Ibigo by!amashuri y!incuke",1,,2021,3,,6.55938214285714
69,67,2,2,2,1,10,8,"Poste de sante cg Farumasi",0,1,,,,6.55938214285714
70,68,2,2,2,1,10,4,"Ikigo cy!amashuri y!imyuga  (TVET)",0,3,,,,5.97752774193548
70,68,2,2,2,1,10,12,"Amashami ya Banki",0,7,,,,5.97752774193548
70,68,2,2,2,1,10,1,"Ibigo by!amashuri y!incuke",1,,2010,1,1,5.97752774193548
70,68,2,2,2,1,10,2,"Ibigo by!amashuri yibanza",1,,888,1,1,5.97752774193548
70,68,2,2,2,1,10,9,"Ibitaro",0,20,,,,5.97752774193548
70,68,2,2,2,1,10,3,"Ibigo by!amashuri yisumbuye",1,,2021,1,1,5.97752774193548
70,68,2,2,2,1,10,21,"Ipompo izamura amazi ikoresha amashanyarazi",0,0,,,,5.97752774193548
70,68,2,2,2,1,10,18,"Aho bajya inama bakanatanga serivisi z!ubuhinzi",0,0,,,,5.97752774193548
70,68,2,2,2,1,10,17,"Imiryango itari ibigo by!imari itari iya leta",0,7,,,,5.97752774193548
70,68,2,2,2,1,10,23,"Ibiro by!ibigo bya Leta bitanga amashanyarazi",0,0,,,,5.97752774193548
70,68,2,2,2,1,10,15,"Ibiro by!iposita",0,0,,,,5.97752774193548
70,68,2,2,2,1,10,10,"Amasoko",0,7,,,,5.97752774193548
70,68,2,2,2,1,10,16,"Aho abantu babonera Internet",0,0,,,,5.97752774193548
70,68,2,2,2,1,10,8,"Poste de sante cg Farumasi",0,7,,,,5.97752774193548
70,68,2,2,2,1,10,19,"Insyo/amabarizo/aho bakora amavuta ateka",0,3,,,,5.97752774193548
70,68,2,2,2,1,10,20,"Aho basharija/bakora telefoni",0,0,,,,5.97752774193548
70,68,2,2,2,1,10,11,"Amakusanyirizo y!amata",0,7,,,,5.97752774193548
70,68,2,2,2,1,10,13,"Ibigo by!imari iciriritse",0,7,,,,5.97752774193548
70,68,2,2,2,1,10,14,"Poste ya polisi",0,7,,,,5.97752774193548
70,68,2,2,2,1,10,6,"Amavuriro y!igenga",0,0,,,,5.97752774193548
70,68,2,2,2,1,10,5,"Aho bategera Bus",0,0,,,,5.97752774193548
70,68,2,2,2,1,10,22,"Kiliziya/Umusigiti/Urusengero",0,3,,,,5.97752774193548
70,68,2,2,2,1,10,7,"Amavuriro ya Leta/Ikigo nderabuzima",0,7,,,,5.97752774193548
71,69,2,2,2,1,10,12,"Amashami ya Banki",0,1,,,,111.031052054795
71,69,2,2,2,1,10,1,"Ibigo by!amashuri y!incuke",0,2,,,,111.031052054795
71,69,2,2,2,1,10,11,"Amakusanyirizo y!amata",1,,2021,1,1,111.031052054795
71,69,2,2,2,1,10,5,"Aho bategera Bus",0,5,,,,111.031052054795
71,69,2,2,2,1,10,2,"Ibigo by!amashuri yibanza",0,1,,,,111.031052054795
71,69,2,2,2,1,10,7,"Amavuriro ya Leta/Ikigo nderabuzima",0,2,,,,111.031052054795
71,69,2,2,2,1,10,8,"Poste de sante cg Farumasi",0,2,,,,111.031052054795
71,69,2,2,2,1,10,21,"Ipompo izamura amazi ikoresha amashanyarazi",0,0,,,,111.031052054795
71,69,2,2,2,1,10,17,"Imiryango itari ibigo by!imari itari iya leta",0,0,,,,111.031052054795
71,69,2,2,2,1,10,22,"Kiliziya/Umusigiti/Urusengero",0,1,,,,111.031052054795
71,69,2,2,2,1,10,13,"Ibigo by!imari iciriritse",0,1,,,,111.031052054795
71,69,2,2,2,1,10,15,"Ibiro by!iposita",0,3,,,,111.031052054795
71,69,2,2,2,1,10,23,"Ibiro by!ibigo bya Leta bitanga amashanyarazi",0,0,,,,111.031052054795
71,69,2,2,2,1,10,9,"Ibitaro",0,3,,,,111.031052054795
71,69,2,2,2,1,10,4,"Ikigo cy!amashuri y!imyuga  (TVET)",0,3,,,,111.031052054795
71,69,2,2,2,1,10,6,"Amavuriro y!igenga",0,3,,,,111.031052054795
71,69,2,2,2,1,10,16,"Aho abantu babonera Internet",0,0,,,,111.031052054795
71,69,2,2,2,1,10,20,"Aho basharija/bakora telefoni",0,1,,,,111.031052054795
71,69,2,2,2,1,10,19,"Insyo/amabarizo/aho bakora amavuta ateka",0,1,,,,111.031052054795
71,69,2,2,2,1,10,3,"Ibigo by!amashuri yisumbuye",0,2,,,,111.031052054795
71,69,2,2,2,1,10,10,"Amasoko",0,1,,,,111.031052054795
71,69,2,2,2,1,10,18,"Aho bajya inama bakanatanga serivisi z!ubuhinzi",0,0,,,,111.031052054795
71,69,2,2,2,1,10,14,"Poste ya polisi",0,2,,,,111.031052054795
79,70,2,3,1,1,1,17,"Imiryango itari ibigo by!imari itari iya leta",0,1,,,,13.34441
79,70,2,3,1,1,1,20,"Aho basharija/bakora telefoni",0,0,,,,13.34441
79,70,2,3,1,1,1,16,"Aho abantu babonera Internet",0,4,,,,13.34441
79,70,2,3,1,1,1,23,"Ibiro by!ibigo bya Leta bitanga amashanyarazi",0,1,,,,13.34441
79,70,2,3,1,1,1,11,"Amakusanyirizo y!amata",0,4,,,,13.34441
79,70,2,3,1,1,1,14,"Poste ya polisi",1,,2018,1,1,13.34441
79,70,2,3,1,1,1,21,"Ipompo izamura amazi ikoresha amashanyarazi",0,0,,,,13.34441
79,70,2,3,1,1,1,2,"Ibigo by!amashuri yibanza",1,,2013,1,1,13.34441
79,70,2,3,1,1,1,6,"Amavuriro y!igenga",0,35,,,,13.34441
79,70,2,3,1,1,1,13,"Ibigo by!imari iciriritse",0,1,,,,13.34441
79,70,2,3,1,1,1,9,"Ibitaro",0,14,,,,13.34441
79,70,2,3,1,1,1,3,"Ibigo by!amashuri yisumbuye",4,,888,1,1,13.34441
79,70,2,3,1,1,1,15,"Ibiro by!iposita",0,35,,,,13.34441
79,70,2,3,1,1,1,5,"Aho bategera Bus",1,,2020,1,1,13.34441
79,70,2,3,1,1,1,12,"Amashami ya Banki",0,1,,,,13.34441
79,70,2,3,1,1,1,19,"Insyo/amabarizo/aho bakora amavuta ateka",0,1,,,,13.34441
79,70,2,3,1,1,1,1,"Ibigo by!amashuri y!incuke",1,,2008,1,1,13.34441
79,70,2,3,1,1,1,18,"Aho bajya inama bakanatanga serivisi z!ubuhinzi",1,,2020,1,1,13.34441
79,70,2,3,1,1,1,10,"Amasoko",1,,2020,1,1,13.34441
79,70,2,3,1,1,1,22,"Kiliziya/Umusigiti/Urusengero",1,,1943,1,1,13.34441
79,70,2,3,1,1,1,7,"Amavuriro ya Leta/Ikigo nderabuzima",1,,888,1,1,13.34441
79,70,2,3,1,1,1,4,"Ikigo cy!amashuri y!imyuga  (TVET)",1,,2016,1,1,13.34441
79,70,2,3,1,1,1,8,"Poste de sante cg Farumasi",0,3,,,,13.34441
80,71,2,3,2,1,2,3,"Ibigo by!amashuri yisumbuye",0,9,,,,104.835668449198
80,71,2,3,2,1,2,4,"Ikigo cy!amashuri y!imyuga  (TVET)",0,3,,,,104.835668449198
80,71,2,3,2,1,2,1,"Ibigo by!amashuri y!incuke",1,,2010,1,1,104.835668449198
80,71,2,3,2,1,2,5,"Aho bategera Bus",0,10,,,,104.835668449198
80,71,2,3,2,1,2,10,"Amasoko",0,5,,,,104.835668449198
80,71,2,3,2,1,2,7,"Amavuriro ya Leta/Ikigo nderabuzima",0,5,,,,104.835668449198
80,71,2,3,2,1,2,2,"Ibigo by!amashuri yibanza",1,,2010,1,1,104.835668449198
80,71,2,3,2,1,2,15,"Ibiro by!iposita",0,0,,,,104.835668449198
80,71,2,3,2,1,2,9,"Ibitaro",0,16,,,,104.835668449198
80,71,2,3,2,1,2,12,"Amashami ya Banki",0,15,,,,104.835668449198
80,71,2,3,2,1,2,19,"Insyo/amabarizo/aho bakora amavuta ateka",0,15,,,,104.835668449198
80,71,2,3,2,1,2,14,"Poste ya polisi",0,6,,,,104.835668449198
80,71,2,3,2,1,2,23,"Ibiro by!ibigo bya Leta bitanga amashanyarazi",0,16,,,,104.835668449198
80,71,2,3,2,1,2,16,"Aho abantu babonera Internet",0,2,,,,104.835668449198
80,71,2,3,2,1,2,6,"Amavuriro y!igenga",0,20,,,,104.835668449198
80,71,2,3,2,1,2,20,"Aho basharija/bakora telefoni",0,16,,,,104.835668449198
80,71,2,3,2,1,2,8,"Poste de sante cg Farumasi",0,15,,,,104.835668449198
80,71,2,3,2,1,2,22,"Kiliziya/Umusigiti/Urusengero",3,,888,2,1,104.835668449198
80,71,2,3,2,1,2,17,"Imiryango itari ibigo by!imari itari iya leta",0,7,,,,104.835668449198
80,71,2,3,2,1,2,13,"Ibigo by!imari iciriritse",0,15,,,,104.835668449198
80,71,2,3,2,1,2,11,"Amakusanyirizo y!amata",0,0,,,,104.835668449198
80,71,2,3,2,1,2,21,"Ipompo izamura amazi ikoresha amashanyarazi",0,0,,,,104.835668449198
80,71,2,3,2,1,2,18,"Aho bajya inama bakanatanga serivisi z!ubuhinzi",0,3,,,,104.835668449198
81,72,2,3,2,1,1,7,"Amavuriro ya Leta/Ikigo nderabuzima",1,,2010,1,1,112.872822222222
81,72,2,3,2,1,1,5,"Aho bategera Bus",1,,2018,1,1,112.872822222222
81,72,2,3,2,1,1,12,"Amashami ya Banki",0,15,,,,112.872822222222
81,72,2,3,2,1,1,9,"Ibitaro",0,8,,,,112.872822222222
81,72,2,3,2,1,1,14,"Poste ya polisi",0,20,,,,112.872822222222
81,72,2,3,2,1,1,19,"Insyo/amabarizo/aho bakora amavuta ateka",0,4,,,,112.872822222222
81,72,2,3,2,1,1,23,"Ibiro by!ibigo bya Leta bitanga amashanyarazi",0,35,,,,112.872822222222
81,72,2,3,2,1,1,10,"Amasoko",0,20,,,,112.872822222222
81,72,2,3,2,1,1,3,"Ibigo by!amashuri yisumbuye",1,,1998,1,1,112.872822222222
81,72,2,3,2,1,1,1,"Ibigo by!amashuri y!incuke",1,,888,2,1,112.872822222222
81,72,2,3,2,1,1,4,"Ikigo cy!amashuri y!imyuga  (TVET)",0,4,,,,112.872822222222
81,72,2,3,2,1,1,8,"Poste de sante cg Farumasi",0,4,,,,112.872822222222
81,72,2,3,2,1,1,21,"Ipompo izamura amazi ikoresha amashanyarazi",0,30,,,,112.872822222222
81,72,2,3,2,1,1,16,"Aho abantu babonera Internet",0,35,,,,112.872822222222
81,72,2,3,2,1,1,2,"Ibigo by!amashuri yibanza",1,,1987,1,1,112.872822222222
81,72,2,3,2,1,1,11,"Amakusanyirizo y!amata",1,,2017,1,1,112.872822222222
81,72,2,3,2,1,1,20,"Aho basharija/bakora telefoni",1,,888,1,1,112.872822222222
81,72,2,3,2,1,1,18,"Aho bajya inama bakanatanga serivisi z!ubuhinzi",0,20,,,,112.872822222222
81,72,2,3,2,1,1,17,"Imiryango itari ibigo by!imari itari iya leta",0,35,,,,112.872822222222
81,72,2,3,2,1,1,22,"Kiliziya/Umusigiti/Urusengero",1,,2000,1,1,112.872822222222
